2025-04-22 01:49:26 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-22 01:49:26 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-22 01:49:26 | razer                          | INFO     | Serving DBus
2025-04-22 18:47:14 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-22 21:34:00 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1306
2025-04-22 21:34:00 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-22 21:34:00 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-22 21:34:00 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-22 21:34:01 | razer                          | INFO     | Serving DBus
2025-04-23 15:09:24 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-23 15:30:25 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1332
2025-04-23 15:30:25 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-23 15:30:25 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-23 15:30:25 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-23 15:30:25 | razer                          | INFO     | Serving DBus
2025-04-23 17:54:36 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-23 18:44:10 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1313
2025-04-23 18:44:10 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-23 18:44:10 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-23 18:44:10 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-23 18:44:10 | razer                          | INFO     | Serving DBus
